neighbourhood_id,category,name,lat,lon
VAN_DT,restaurants,Homer St Cafe and Bar,49.2784178,-123.118217
VAN_DT,restaurants,Kadoya,49.2802018,-123.13067
VAN_DT,restaurants,Fatburger,49.2802263,-123.130709
VAN_DT,restaurants,Gyu-Kaku,49.2801081,-123.125117
VAN_DT,restaurants,Java Cat,49.2817816,-123.1117459
VAN_DT,restaurants,Rorimomo,49.2777207,-123.126777
VAN_DT,restaurants,Waves Coffee House,49.2838456,-123.1119201
VAN_DT,restaurants,Kokoro Tokyo Mazesoba,49.2834021,-123.115045
VAN_DT,restaurants,Peqish,49.2833879,-123.1145536
VAN_DT,restaurants,Kita no Donburi,49.2845444,-123.1133011
VAN_DT,restaurants,Sushi Yan,49.2847964,-123.124306
VAN_DT,restaurants,Meat & Bread,49.282623,-123.109344
VAN_DT,restaurants,Fresh Bowl,49.2827131,-123.109315
VAN_DT,restaurants,,49.2828897,-123.1230681
VAN_DT,restaurants,Boulevard Kitchen & Oyster Bar,49.2829266,-123.123798
VAN_DT,restaurants,Burger King,49.2841267,-123.1142755
VAN_DT,restaurants,Wa! Currey,49.2841806,-123.114361
VAN_DT,restaurants,Rue 909 Sushi,49.2852511,-123.1186391
VAN_DT,restaurants,Tim Hortons,49.2860889,-123.116336
VAN_DT,restaurants,24 Train Express Noodle House,49.2782532,-123.121816
VAN_DT,restaurants,La Belle Patate/Poutine,49.2820553,-123.1335652
VAN_DT,restaurants,Gurkha Himalayan Kitchen,49.2812088,-123.131973
VAN_DT,restaurants,Sushi Den,49.279559,-123.107842
VAN_DT,restaurants,Noodle Box,49.2819445,-123.107631
VAN_DT,restaurants,Poke M,49.2816397,-123.107525
VAN_DT,restaurants,Vegan Cave,49.2818025,-123.107462
VAN_DT,restaurants,Boba Run,49.2819139,-123.10746
VAN_DT,restaurants,Wildebeest,49.2819933,-123.107973
VAN_DT,restaurants,Prado,49.2819016,-123.1074227
VAN_DT,restaurants,Cafe Duello,49.2835903,-123.111511
VAN_DT,restaurants,Breka Bakery & Cafe,49.2856543,-123.114727
VAN_DT,restaurants,CoCo Fresh Tea & Juice,49.2845132,-123.114372
VAN_DT,restaurants,Social Crust Cafe & Catering,49.2825674,-123.1113699
VAN_DT,restaurants,Ha Long Bay,49.2830665,-123.1126225
VAN_DT,restaurants,Gong Cha,49.2838332,-123.113312
VAN_DT,restaurants,Limegee Bubble Tea,49.2839646,-123.11351
VAN_DT,restaurants,Pizza 2001,49.2840103,-123.113579
VAN_DT,restaurants,Saunter,49.2825152,-123.1112958
VAN_DT,restaurants,Kim House,49.2835675,-123.1128993
VAN_DT,restaurants,Koala Kebabs,49.2836356,-123.1130258
VAN_DT,restaurants,Cham Mani,49.2837054,-123.1131194
VAN_DT,restaurants,PiCaDo,49.2841752,-123.1138796
VAN_DT,restaurants,Spin Roll,49.2837386,-123.1131665
VAN_DT,restaurants,Freshslice Pizza,49.2838178,-123.11328
VAN_DT,restaurants,Salam Bombay,49.2840406,-123.12216
VAN_DT,restaurants,Indian Burgers Joint,49.2796025,-123.1241661
VAN_DT,restaurants,Freshslice Pizza,49.2816572,-123.120597
VAN_DT,restaurants,Orange Julius,49.2795971,-123.117415
VAN_DT,restaurants,A&W,49.2796191,-123.117481
VAN_DT,restaurants,Memphis Blues BBQ House,49.2795681,-123.117362
VAN_DT,restaurants,Big Way Hot Pot,49.2817133,-123.120675
VAN_DT,restaurants,Curry Hut Indian Bistro,49.2857988,-123.115359
VAN_DT,restaurants,Mario's Coffee Express Ltd,49.2846149,-123.1171213
VAN_DT,restaurants,The Pawn Shop,49.2780334,-123.1251115
VAN_DT,restaurants,Falafel King,49.2801341,-123.118169
VAN_DT,restaurants,Kinton Ramen,49.2794999,-123.117231
VAN_DT,restaurants,Cafe Monet Bread & Coffee,49.2803995,-123.118634
VAN_DT,restaurants,Rollzzy,49.2802404,-123.118333
VAN_DT,restaurants,Japadog,49.2801999,-123.1182707
VAN_DT,restaurants,Viet Sub,49.2801622,-123.1182125
VAN_DT,restaurants,Yet's Cafe,49.2776328,-123.131088
VAN_DT,restaurants,Daikichi Sushi,49.2774536,-123.131337
VAN_DT,restaurants,Sushi Coen,49.2777387,-123.130932
VAN_DT,restaurants,Rocanini,49.2770169,-123.115107
VAN_DT,restaurants,Nusa Coffee,49.2836087,-123.109495
VAN_DT,restaurants,Timbertrain,49.2839055,-123.1094962
VAN_DT,restaurants,Takeout Shack,49.2830143,-123.109178
VAN_DT,restaurants,Haru Korean Kitchen,49.2829428,-123.109213
VAN_DT,restaurants,Tokyo In April,49.2803833,-123.1074046
VAN_DT,restaurants,Einstein Wrap House,49.2805604,-123.1073941
VAN_DT,restaurants,Yopo,49.2760108,-123.121902
VAN_DT,restaurants,Nuba,49.2759195,-123.1245551
VAN_DT,restaurants,Brix & Mortar,49.2756856,-123.1220661
VAN_DT,restaurants,O-Cha Tea Bar,49.2761071,-123.121757
VAN_DT,restaurants,Fat Mao,49.2798076,-123.126766
VAN_DT,restaurants,The Edge,49.277847,-123.1248161
VAN_DT,restaurants,Tutto,49.2784067,-123.1187517
VAN_DT,restaurants,Greenhorn Cafe,49.2866176,-123.134001
VAN_DT,restaurants,Hiro Sushi,49.2829336,-123.108249
VAN_DT,restaurants,La Casita,49.283064,-123.106967
VAN_DT,restaurants,Poke Okey,49.2807065,-123.124984
VAN_DT,restaurants,Pokérrito,49.2807348,-123.124938
VAN_DT,restaurants,Trish Juice,49.2808062,-123.12482
VAN_DT,restaurants,Bacchus,49.2823081,-123.1225427
VAN_DT,restaurants,Pholicious,49.284215,-123.112463
VAN_DT,restaurants,Alouette,49.2851704,-123.1182262
VAN_DT,restaurants,Starbucks,49.284888,-123.118063
VAN_DT,restaurants,JJ Bean,49.2848628,-123.1187816
VAN_DT,restaurants,Cafe Artigiano,49.2831204,-123.1213927
VAN_DT,restaurants,Blenz Coffee,49.2840267,-123.1122692
VAN_DT,restaurants,My Honey's Buns,49.2840486,-123.11997
VAN_DT,restaurants,Faubourg Paris,49.2830645,-123.121477
VAN_DT,restaurants,Mangos Kitchen Bar,49.2781376,-123.1263175
VAN_DT,restaurants,Baghdad Cafe,49.2834343,-123.1144842
VAN_DT,restaurants,4 Brothers Pizza,49.2772847,-123.127686
VAN_DT,restaurants,Kim House,49.2835359,-123.114343
VAN_DT,restaurants,White Spot,49.2761557,-123.128164
VAN_DT,restaurants,Dilli Heights,49.2834975,-123.1125167
VAN_DT,restaurants,The Poke Guy,49.2837533,-123.112099
VAN_DT,restaurants,Subway,49.2839142,-123.1123573
VAN_DT,restaurants,Monaco Cafe,49.2845195,-123.110442
VAN_DT,restaurants,Brioche,49.2841913,-123.1099164
VAN_DT,restaurants,Sake Dining - Hashigo,49.2765186,-123.127442
VAN_DT,restaurants,Tequila Cocina,49.2767764,-123.1264629
VAN_DT,restaurants,Fable Diner & Bar,49.2807525,-123.1171855
VAN_DT,restaurants,Mr. Greek,49.2775029,-123.125931
VAN_DT,restaurants,Pho Mimosa,49.277701,-123.125626
VAN_DT,restaurants,Donair Dude,49.2778308,-123.125433
VAN_DT,restaurants,Union Latino's,49.277764,-123.125533
VAN_DT,restaurants,Brunch,49.2777995,-123.125475
VAN_DT,restaurants,TAKO,49.2788984,-123.1082328
VAN_DT,restaurants,Odo Sushi,49.2794353,-123.106956
VAN_DT,restaurants,Thai Away Home,49.2784906,-123.12445
VAN_DT,restaurants,Thai Town Restaurant,49.2786415,-123.124214
VAN_DT,restaurants,Ancora,49.2738934,-123.132775
VAN_DT,restaurants,Thida Thai,49.2817168,-123.133062
VAN_DT,restaurants,Disco Cheetah,49.2816322,-123.132944
VAN_DT,restaurants,Tom Sushi,49.2815405,-123.132811
VAN_DT,restaurants,The Hestia Veggie,49.2814332,-123.132631
VAN_DT,restaurants,Med Grill & Bar,49.2813594,-123.132504
VAN_DT,restaurants,KFC,49.2812333,-123.132309
VAN_DT,restaurants,Pho Goodness,49.280931,-123.1323047
VAN_DT,restaurants,PappaRoti,49.2888664,-123.131101
VAN_DT,restaurants,Ramen Gojiro,49.2825244,-123.114459
VAN_DT,restaurants,JJ Bean,49.28207,-123.113731
VAN_DT,restaurants,Field & Social,49.2819959,-123.1136208
VAN_DT,restaurants,Blenz Coffee,49.2868125,-123.113169
VAN_DT,restaurants,Guu ​with Garlic,49.2902892,-123.1338882
VAN_DT,restaurants,Sushi California,49.2865749,-123.122858
VAN_DT,restaurants,Cazba,49.280638,-123.131087
VAN_DT,restaurants,JINYA Ramen Bar,49.2803076,-123.117925
VAN_DT,restaurants,Fatburger,49.2819977,-123.118635
VAN_DT,restaurants,O Sushi,49.2818976,-123.118783
VAN_DT,restaurants,Freshii,49.2870382,-123.118101
VAN_DT,restaurants,Chit Chat Burger Bar,49.2798107,-123.1224898
VAN_DT,restaurants,Pho Quynh Express (Granville),49.283914,-123.115705
VAN_DT,restaurants,Trees Organic Coffee,49.2848589,-123.1143085
VAN_DT,restaurants,Mo-Ment Crispy Burger,49.2838693,-123.115767
VAN_DT,restaurants,Nemesis,49.282764,-123.1102832
VAN_DT,restaurants,Ramen Danbo,49.2874551,-123.128933
VAN_DT,restaurants,Ebi-Ten,49.2792456,-123.1168603
VAN_DT,restaurants,Yummy Slice Pizza,49.2813411,-123.132939
VAN_DT,restaurants,Los Amigos Taqueria,49.2806243,-123.1318323
VAN_DT,restaurants,City Square Pizza,49.2805792,-123.1317635
VAN_DT,restaurants,Donair Dude,49.2813691,-123.1329919
VAN_DT,restaurants,Starbucks,49.2870804,-123.1143203
